Srno	Texting	Outings	Common Intrest	Like
1	2	2	1	Didntlike 
2	4	15	5	LargeDoses
3	5	7	2	SmallDoses
4	7	4	3	SmallDoses
5	1	1	0	Didntlike 
6	3	5	2	SmallDoses
7	7	1	3	SmallDoses
8	8	14	6	LargeDoses
9	4	5	4	SmallDoses
10	2	8	4	LargeDoses
11	2	7	5	SmallDoses
12	3	6	2	SmallDoses
13	5	9	5	LargeDoses
14	4	4	2	SmallDoses
15	1	2	0	Didntlike 
16	2	3	2	Didntlike 
17	2	1	1	Didntlike 
18	4	5	3	SmallDoses
19	5	2	0	Didntlike 
20	5	8	4	LargeDoses
21	6	7	5	LargeDoses
22	7	9	6	LargeDoses
23	4	2	2	SmallDoses
24	2	1	1	SmallDoses
25	3	5	3	SmallDoses
26	3	5	2	SmallDoses
27	5	2	3	SmallDoses
28	4	2	2	SmallDoses
29	1	3	1	Didntlike 
30	2	1	2	Didntlike 
31	2	5	1	Didntlike 
32	4	2	3	SmallDoses
33	5	8	4	LargeDoses
34	5	7	3	LargeDoses
35	6	9	4	LargeDoses
36	7	12	6	LargeDoses
37	4	1	4	Didntlike 
38	2	5	4	SmallDoses
39	5	5	5	LargeDoses
40	4	2	2	SmallDoses
41	1	2	2	Didntlike 
42	2	3	2	SmallDoses
43	2	1	0	Didntlike 
44	4	5	3	SmallDoses
45	5	2	1	Didntlike 
46	5	8	4	LargeDoses
47	6	7	5	LargeDoses
48	7	9	7	LargeDoses
49	4	2	3	SmallDoses
50	4	11	6	LargeDoses
